"We know that power is shifting: From West to East and North to South, from presidential palaces to public squares, from once formidable corporate behemoths to nimble startups and, slowly but surely, from men to women. But power is not merely shifting and dispersing. It is also decaying. Those in power today are more constrained in what they can do with it and more at risk of losing it than ever before. In The End of Power, award-winning columnist and former Foreign Policy editor Moisés Naím illuminates the struggle between once-dominant megaplayers and the new micropowers challenging them in every field of human endeavor. Drawing on provocative, original research, Naím shows how the antiestablishment drive of micropowers can topple tyrants, dislodge monopolies, and open remarkable new opportunities, but it can also lead to chaos and paralysis. Naím deftly covers the seismic changes underway in business, religion, education, within families, and in all matters of war and peace. Examples abound in all walks of life: In 1977, eighty-nine countries were ruled by autocrats while today more than half the world's population lives in democracies. CEO's are more constrained and have shorter tenures than their predecessors. Modern tools of war, cheaper and more accessible, make it possible for groups like Hezbollah to afford their own drones. In the second half of 2010, the top ten hedge funds earned more than the world's largest six banks combined. Those in power retain it by erecting powerful barriers to keep challengers at bay. Today, insurgent forces dismantle those barriers more quickly and easily than ever, only to find that they themselves become vulnerable in the process. Accessible and captivating, Naím offers a revolutionary look at the inevitable end of power—and how it will change your world.",Moisés Naím,Business,"The End of Power: From Boardrooms to Battlefields and Churches to States, Why Being In Charge Isn't What It Used to Be"
"Following the success of The Accidental Billionaires and Moneyball comes Console Wars—a mesmerizing, behind-the-scenes business thriller that chronicles how Sega, a small, scrappy gaming company led by an unlikely visionary and a team of rebels, took on the juggernaut Nintendo and revolutionized the video game industry.In 1990, Nintendo had a virtual monopoly on the video game industry. Sega, on the other hand, was just a faltering arcade company with big aspirations and even bigger personalities. But that would all change with the arrival of Tom Kalinske, a man who knew nothing about videogames and everything about fighting uphill battles. His unconventional tactics, combined with the blood, sweat and bold ideas of his renegade employees, transformed Sega and eventually led to a ruthless David-and-Goliath showdown with rival Nintendo.The battle was vicious, relentless, and highly profitable, eventually sparking a global corporate war that would be fought on several fronts: from living rooms and schoolyards to boardrooms and Congress. It was a once-in-a-lifetime, no-holds-barred conflict that pitted brother against brother, kid against adult, Sonic against Mario, and the US against Japan.Based on over two hundred interviews with former Sega and Nintendo employees, Console Wars is the underdog tale of how Kalinske miraculously turned an industry punchline into a market leader. It's the story of how a humble family man, with an extraordinary imagination and a gift for turning problems into competitive advantages, inspired a team of underdogs to slay a giant and, as a result, birth a $60 billion dollar industry.",Blake J. Harris,Business,"Console Wars: Sega, Nintendo, and the Battle that Defined a Generation"
"How to tap the power of social software and networks to build your business In Trust Agents,  two social media veterans show you how to tap into the power of social networks to build your brand's influence, reputation, and, of course, profits. Today's online influencers are web natives who trade in trust, reputation, and relationships, using social media to accrue the influence that builds up or brings down businesses online.The book shows how people use online social tools to build networks of influence and how you can use those networks to positively impact your business. Because trust is key to building online reputations, those who traffic in it are ""trust agents,"" the key people your business needs on its side.Delivers actionable steps and case studies that show how social media can positively impact your business Written by authors with over ten years of online media experience Shows you how to build and wield influence online to benefit your brand Combines high-level theory with practical step-by-step guidance If you want your business to succeed, don't sit on the sidelines. Instead, use the Web to build trust with your consumers using Trust Agents.",Chris Brogan,Business,"Trust Agents: Using the Web to Build Influence, Improve Reputation, and Earn Trust"
"William J. Bernstein is an American financial theorist and neurologist. His research is in the field of modern portfolio theory and he has published books for individual investors who wish to manage their own equity portfolios. He lives in Portland, Oregon.",William J. Bernstein,Business,The Four Pillars of Investing
"Amazing book. And I joined Steve Jobs and many more from the Akio Morita fan club.Did you know that he was such a sensation that Steve Jobs wanted to build Apple to be like Sony? Here are the similarities- Both Apple and Sony had a reputation of creating perfectly crafted consumer products which conquer the marketplace. Apple still does, in fact.Both companies were leaders in ""personal technology"". This is where Apple drew inspiration from Sony's Walkman, an inspiration which culminated in the",Akio Morita,Business,Made in Japan: Akio Morita and Sony
"In the tradition of Phil Knight's Shoe Dog comes the incredible untold story of how Netflix went from concept to company-all revealed by co-founder and first CEO Marc Randolph. Once upon a time, brick-and-mortar video stores were king. Late fees were ubiquitous, video-streaming unheard was of, and widespread DVD adoption seemed about as imminent as flying cars. Indeed, these were the widely accepted laws of the land in 1997, when Marc Randolph had an idea. It was a simple thought-leveraging the internet to rent movies-and was just one of many more and far worse proposals, like personalized baseball bats and a shampoo delivery service, that Randolph would pitch to his business partner, Reed Hastings, on their commute to work each morning.  But Hastings was intrigued, and the pair-with Hastings as the primary investor and Randolph as the CEO-founded a company. Now with over 150 million subscribers, Netflix's triumph feels inevitable, but the twenty first century's most disruptive start up began with few believers and calamity at every turn. From having to pitch his own mother on being an early investor, to the motel conference room that served as a first office, to server crashes on launch day, to the now-infamous meeting when Netflix brass pitched Blockbuster to acquire them, Marc Randolph's transformational journey exemplifies how anyone with grit, gut instincts and determination can change the world-even with an idea that many think will never work.  What emerges,though, isn't just the inside story of one of the world's most iconic companies. Full of counter-intuitive concepts and written in binge-worthy prose, it answers some of our most fundamental questions about taking that leap of faith in business or in life: How do you begin? How do you weather disappointment and failure? How do you deal with success? What even is success?  From idea generation to team building to knowing when it's time to let go, That Will Never Work is not only the ultimate follow-your-dreams parable, but also one of the most dramatic and insightful entrepreneurial stories of our time.",Marc Randolph,Business,That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea
"Gregory Zuckerman, the bestselling author of The Greatest Trade Ever and The Frackers, answers the question investors have been asking for decades: How did Jim Simons do it?Shortlisted for the Financial Times/McKinsey Business Book of the Year AwardJim Simons is the greatest money maker in modern financial history. No other investor--Warren Buffett, Peter Lynch, Ray Dalio, Steve Cohen, or George Soros--can touch his record. Since 1988, Renaissance's signature Medallion fund has generated average annual returns of 66 percent. The firm has earned profits of more than $100 billion; Simons is worth twenty-three billion dollars.Drawing on unprecedented access to Simons and dozens of current and former employees, Zuckerman, a veteran Wall Street Journal investigative reporter, tells the gripping story of how a world-class mathematician and former code breaker mastered the market. Simons pioneered a data-driven, algorithmic approach that's sweeping the world.As Renaissance became a market force, its executives began influencing the world beyond finance. Simons became a major figure in scientific research, education, and liberal politics. Senior executive Robert Mercer is more responsible than anyone else for the Trump presidency, placing Steve Bannon in the campaign and funding Trump's victorious 2016 effort. Mercer also impacted the campaign behind Brexit.The Man Who Solved the Market is a portrait of a modern-day Midas who remade markets in his own image, but failed to anticipate how his success would impact his firm and his country. It's also a story of what Simons's revolution means for the rest of us.",Gregory Zuckerman,Business,The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution
"From bestselling writer David Graeber, a powerful argument against the rise of meaningless, unfulfilling jobs, and their consequences.Does your job make a meaningful contribution to the world? In the spring of 2013, David Graeber asked this question in a playful, provocative essay titled “On the Phenomenon of Bullshit Jobs.” It went viral. After a million online views in seventeen different languages, people all over the world are still debating the answer. There are millions of people—HR consultants, communication coordinators, telemarketing researchers, corporate lawyers—whose jobs are useless, and, tragically, they know it. These people are caught in bullshit jobs. Graeber explores one of society’s most vexing and deeply felt concerns, indicting among other villains a particular strain of finance capitalism that betrays ideals shared by thinkers ranging from Keynes to Lincoln. Bullshit Jobs gives individuals, corporations, and societies permission to undergo a shift in values, placing creative and caring work at the center of our culture. This book is for everyone who wants to turn their vocation back into an avocation.",David Graeber,Business,Bullshit Jobs: A Theory
"You aspire to lead with greater impact. The problem is you’re busy executing on today’s demands. You know you have to carve out time from your day job to build your leadership skills, but it’s easy to let immediate problems and old mind-sets get in the way. Herminia Ibarra—an expert on professional leadership and development and a renowned professor at INSEAD, a leading international business school—shows how managers and executives at all levels can step up to leadership by making small but crucial changes in their jobs, their networks, and themselves. In Act Like a Leader, Think Like a Leader, she offers advice to help you:• Redefine your job in order to make more strategic contributions• Diversify your network so that you connect to, and learn from, a bigger range of stakeholders• Become more playful with your self-concept, allowing your familiar—and possibly outdated—leadership style to evolveIbarra turns the usual “think first and then act” philosophy on its head by arguing that doing these three things will help you learn through action and will increase what she calls your outsight—the valuable external perspective you gain from direct experiences and experimentation. As opposed to insight, outsight will then help change the way you think as a leader: about what kind of work is important; how you should invest your time; why and which relationships matter in informing and supporting your leadership; and, ultimately, who you want to become.Packed with self-assessments and practical advice to help define your most pressing leadership challenges, this book will help you devise a plan of action to become a better leader and move your career to the next level. It’s time to learn by doing.",Herminia Ibarra,Business,"Act Like a Leader, Think Like a Leader"
"Entrepreneurs often suffer from ”superhero syndrome”—the misconception that to be successful, they must do everything themselves. Not only are they the boss, but also the salesperson, HR manager, copywriter, operations manager, online marketing guru, and so much more. It’s no wonder why so many people give up the dream of starting a business—it’s just too much for one person to handle.But outsourcing expert and ”Virtual CEO,” Chris Ducker knows how you can get the help you need with resources you can afford. Small business owners, consultants, and online entrepreneurs don’t have to go it alone when they discover the power of building teams of virtual employees to help run, support, and grow their businesses.Virtual Freedom: How to Work with Virtual Staff to Buy More Time, Become More Productive, and Build Your Dream Business is the step-by-step guide every entrepreneur needs to build his or her business with the asset of working with virtual employees. Focusing on business growth, Ducker explains every detail you need to grasp, from figuring out which jobs you should outsource to finding, hiring, training, motivating, and managing virtual assistants.With additional tactics and online resources, Virtual Freedom is the ultimate resource of the knowledge and tools necessary for building your dream business with the help of virtual staff.",Chris C. Ducker,Business,"Virtual Freedom: How to Work with Virtual Staff to Buy More Time, Become More Productive, and Build Your Dream Business"
